Time,%,hPa,a,W/m^2,b,h,°C,°F,K,°C,°F,K
1/1/2022 10:20,,,,164,,,,,,25.4,,
1/1/2022 10:25,,,,175,,,,,,25.9,,
1/1/2022 10:30,,,,173,,,,,,26.4,,
1/1/2022 10:35,,,,170,,,,,,26.7,,
1/1/2022 10:40,,,,181,,,,,,26.9,,
1/1/2022 10:45,,,,201,,,,,,27.3,,
1/1/2022 10:50,,,,224,,,,,,28,,
1/1/2022 10:55,,,,250,,,,,,28.2,,
1/1/2022 11:00,,,,254,,,,,,27.8,,
1/1/2022 11:05,,,,249,,,,,,27.1,,
1/1/2022 11:10,,,,270,,,,,,26.9,,
1/1/2022 11:15,,,,301,,,,,,27.5,,
1/1/2022 11:20,,,,337,,,,,,28.8,,
1/1/2022 11:25,,,,346,,,,,,30,,
1/1/2022 11:30,,,,331,,,,,,30.6,,
1/1/2022 11:35,,,,339,,,,,,31.3,,
1/1/2022 11:40,,,,352,,,,,,31.7,,
1/1/2022 11:45,,,,363,,,,,,32.3,,
1/1/2022 11:50,,,,375,,,,,,32.5,,
1/1/2022 11:55,,,,387,,,,,,32.8,,
1/1/2022 12:00,,,,392,,,,,,32.9,,
1/1/2022 12:05,,,,380,,,,,,33.1,,
1/1/2022 12:10,,,,357,,,,,,33.1,,
1/1/2022 12:15,,,,354,,,,,,32.8,,
1/1/2022 12:20,,,,376,,,,,,32.8,,
1/1/2022 12:25,,,,358,,,,,,32.6,,
1/1/2022 12:30,,,,325,,,,,,32.3,,
1/1/2022 12:35,,,,292,,,,,,32,,
1/1/2022 12:40,,,,227,,,,,,30.9,,
1/1/2022 12:45,,,,171,,,,,,29.7,,
1/1/2022 12:50,,,,105,,,,,,27.5,,
1/1/2022 12:55,,,,137,,,,,,26,,
1/1/2022 13:00,,,,124,,,,,,25.6,,
1/1/2022 13:05,,,,99,,,,,,25.1,,
1/1/2022 13:10,,,,105,,,,,,24.9,,
1/1/2022 13:15,,,,82,,,,,,24.8,,
1/1/2022 13:20,,,,72,,,,,,24.6,,
1/1/2022 13:25,,,,94,,,,,,24.6,,
1/1/2022 13:30,,,,144,,,,,,24.8,,
1/1/2022 13:35,,,,219,,,,,,25.4,,
1/1/2022 13:40,,,,268,,,,,,26.5,,
1/1/2022 13:45,,,,267,,,,,,27.8,,
1/1/2022 13:50,,,,240,,,,,,28.8,,
1/1/2022 13:55,,,,260,,,,,,29.3,,
1/1/2022 14:00,,,,291,,,,,,29.9,,
1/1/2022 14:05,,,,299,,,,,,30.3,,
1/1/2022 14:10,,,,315,,,,,,31.1,,
1/1/2022 14:15,,,,321,,,,,,31.4,,
1/1/2022 14:20,,,,316,,,,,,31.5,,
1/1/2022 14:25,,,,301,,,,,,31.2,,
1/1/2022 14:30,,,,279,,,,,,31.1,,
1/1/2022 14:35,,,,266,,,,,,31,,
1/1/2022 14:40,,,,250,,,,,,30.3,,
1/1/2022 14:45,,,,244,,,,,,30.2,,
1/1/2022 14:50,,,,247,,,,,,30.4,,
1/1/2022 14:55,,,,208,,,,,,30.4,,
1/1/2022 15:00,,,,171,,,,,,30.2,,
1/1/2022 15:05,,,,227,,,,,,30.3,,
1/1/2022 15:10,,,,225,,,,,,30.7,,
1/1/2022 15:15,,,,215,,,,,,30.6,,
1/1/2022 15:20,,,,216,,,,,,30.7,,
1/1/2022 15:25,,,,227,,,,,,30.6,,
1/1/2022 15:30,,,,195,,,,,,30.5,,
1/1/2022 15:35,,,,187,,,,,,30.6,,
1/1/2022 15:40,,,,320,,,,,,31.3,,
1/1/2022 15:45,,,,340,,,,,,32.3,,
1/1/2022 15:50,,,,263,,,,,,33.1,,
1/1/2022 15:55,,,,226,,,,,,33.1,,
1/1/2022 16:00,,,,198,,,,,,32.6,,
1/1/2022 16:05,,,,219,,,,,,31.9,,
1/1/2022 16:10,,,,183,,,,,,31.3,,
1/1/2022 16:15,,,,224,,,,,,31,,
1/1/2022 16:20,,,,240,,,,,,31.3,,
1/1/2022 16:25,,,,197,,,,,,31.3,,
1/1/2022 16:30,,,,158,,,,,,30.8,,
1/1/2022 16:35,,,,152,,,,,,29.9,,
1/1/2022 16:40,,,,189,,,,,,29.6,,
1/1/2022 16:45,,,,152,,,,,,29.6,,
1/1/2022 16:50,,,,151,,,,,,29.3,,
1/1/2022 16:55,,,,230,,,,,,29.8,,
1/1/2022 17:00,,,,233,,,,,,30.3,,
1/1/2022 17:05,,,,216,,,,,,30.3,,
1/1/2022 17:10,,,,199,,,,,,30.1,,
1/1/2022 17:15,,,,175,,,,,,30.2,,
1/1/2022 17:20,,,,162,,,,,,30.2,,
1/1/2022 17:25,,,,135,,,,,,30.1,,
1/1/2022 17:30,,,,82,,,,,,29.6,,
1/1/2022 17:35,,,,25,,,,,,28.9,,
1/1/2022 17:40,,,,11,,,,,,27.7,,
1/1/2022 17:45,,,,20,,,,,,25.6,,
1/1/2022 17:50,,,,20,,,,,,24.2,,
1/1/2022 17:55,,,,17,,,,,,23.7,,
1/1/2022 18:00,,,,15,,,,,,23.6,,
1/1/2022 18:05,,,,31,,,,,,23.6,,
1/1/2022 18:10,,,,38,,,,,,23.8,,
1/1/2022 18:15,,,,37,,,,,,23.9,,
1/1/2022 18:20,,,,37,,,,,,23.9,,
1/1/2022 18:25,,,,6,,,,,,24.4,,
1/1/2022 18:30,,,,5,,,,,,24.1,,
1/1/2022 18:35,,,,7,,,,,,24.1,,
1/1/2022 18:40,,,,10,,,,,,23.7,,
1/1/2022 18:45,,,,1,,,,,,23.6,,
1/1/2022 18:50,,,,0,,,,,,23.6,,
1/1/2022 18:55,,,,0,,,,,,23.5,,
1/1/2022 19:00,,,,0,,,,,,23.5,,
1/1/2022 19:05,,,,0,,,,,,23.4,,
1/1/2022 19:10,,,,0,,,,,,23.4,,
1/1/2022 19:15,,,,0,,,,,,23.4,,
1/1/2022 19:20,,,,1,,,,,,23.2,,
1/1/2022 19:25,,,,0,,,,,,23.1,,
1/1/2022 19:30,,,,0,,,,,,23,,
1/1/2022 19:35,,,,1,,,,,,22.9,,
1/1/2022 19:40,,,,0,,,,,,23.9,,
1/1/2022 19:45,,,,0,,,,,,23.8,,
1/1/2022 19:50,,,,0,,,,,,23.7,,
1/1/2022 19:55,,,,0,,,,,,23.6,,
1/1/2022 20:00,,,,0,,,,,,23.5,,
1/1/2022 20:05,,,,0,,,,,,23.4,,
1/1/2022 20:10,,,,0,,,,,,23.3,,
1/1/2022 20:15,,,,0,,,,,,23.3,,
1/1/2022 20:20,,,,0,,,,,,23.2,,
1/1/2022 20:25,,,,0,,,,,,23.2,,
1/1/2022 20:30,,,,0,,,,,,23.3,,
1/1/2022 20:35,,,,0,,,,,,23.3,,
1/1/2022 20:40,,,,0,,,,,,23.3,,
1/1/2022 20:45,,,,0,,,,,,23.3,,
1/1/2022 20:50,,,,0,,,,,,23.3,,
1/1/2022 20:55,,,,0,,,,,,23.3,,
1/1/2022 21:00,,,,0,,,,,,23.3,,
1/1/2022 21:05,,,,0,,,,,,23.3,,
1/1/2022 21:10,,,,0,,,,,,23.3,,
1/1/2022 21:15,,,,0,,,,,,23.3,,
1/1/2022 21:20,,,,0,,,,,,23.3,,
1/1/2022 21:25,,,,0,,,,,,23.2,,
1/1/2022 21:30,,,,0,,,,,,23.2,,
1/1/2022 21:35,,,,0,,,,,,23.1,,
1/1/2022 21:40,,,,0,,,,,,23.1,,
1/1/2022 21:45,,,,0,,,,,,23.1,,
1/1/2022 21:50,,,,0,,,,,,23.1,,
1/1/2022 21:55,,,,0,,,,,,23,,
1/1/2022 22:00,,,,0,,,,,,23,,
1/1/2022 22:05,,,,0,,,,,,23.1,,
1/1/2022 22:10,,,,0,,,,,,23.2,,
1/1/2022 22:15,,,,0,,,,,,23.1,,
1/1/2022 22:20,,,,0,,,,,,23.1,,
1/1/2022 22:25,,,,0,,,,,,23.1,,
1/1/2022 22:30,,,,0,,,,,,23.1,,
1/1/2022 22:35,,,,0,,,,,,23.1,,
1/1/2022 22:40,,,,0,,,,,,23.1,,
1/1/2022 22:45,,,,0,,,,,,23.2,,
1/1/2022 22:50,,,,0,,,,,,23.1,,
1/1/2022 22:55,,,,0,,,,,,23.1,,
1/1/2022 23:00,,,,0,,,,,,23.1,,
1/1/2022 23:05,,,,0,,,,,,23.2,,
1/1/2022 23:10,,,,0,,,,,,23.2,,
1/1/2022 23:15,,,,0,,,,,,23.2,,
1/1/2022 23:20,,,,0,,,,,,23.2,,
1/1/2022 23:25,,,,0,,,,,,23.1,,
1/1/2022 23:30,,,,0,,,,,,23.1,,
1/1/2022 23:35,,,,0,,,,,,23.1,,
1/1/2022 23:40,,,,0,,,,,,23.1,,
1/1/2022 23:45,,,,0,,,,,,23,,
1/1/2022 23:50,,,,0,,,,,,23,,
1/1/2022 23:55,,,,0,,,,,,23,,
1/2/2022 0:00,,,,0,,,,,,23.1,,
1/2/2022 0:05,,,,0,,,,,,23.2,,
1/2/2022 0:10,,,,0,,,,,,23.4,,
1/2/2022 0:15,,,,0,,,,,,23.4,,
1/2/2022 0:20,,,,0,,,,,,23.5,,
1/2/2022 0:25,,,,0,,,,,,23.5,,
1/2/2022 0:30,,,,0,,,,,,23.5,,
1/2/2022 0:35,,,,0,,,,,,23.5,,
1/2/2022 0:40,,,,0,,,,,,23.5,,
1/2/2022 0:45,,,,0,,,,,,23.4,,
1/2/2022 0:50,,,,0,,,,,,23.2,,
1/2/2022 0:55,,,,0,,,,,,22.9,,
1/2/2022 1:00,,,,0,,,,,,22.8,,
1/2/2022 1:05,,,,0,,,,,,22.8,,
1/2/2022 1:10,,,,0,,,,,,22.8,,
1/2/2022 1:15,,,,0,,,,,,22.7,,
1/2/2022 1:20,,,,0,,,,,,22.7,,
1/2/2022 1:25,,,,0,,,,,,22.7,,
1/2/2022 1:30,,,,0,,,,,,22.7,,
1/2/2022 1:35,,,,0,,,,,,22.7,,
1/2/2022 1:40,,,,0,,,,,,22.7,,
1/2/2022 1:45,,,,0,,,,,,22.7,,
1/2/2022 1:50,,,,0,,,,,,22.7,,
1/2/2022 1:55,,,,0,,,,,,22.6,,
1/2/2022 2:00,,,,0,,,,,,22.7,,
1/2/2022 2:05,,,,0,,,,,,22.7,,
1/2/2022 2:10,,,,0,,,,,,22.7,,
1/2/2022 2:15,,,,0,,,,,,22.6,,
1/2/2022 2:20,,,,0,,,,,,22.6,,
1/2/2022 2:25,,,,0,,,,,,22.6,,
1/2/2022 2:30,,,,0,,,,,,22.6,,
1/2/2022 2:35,,,,0,,,,,,22.2,,
1/2/2022 2:40,,,,0,,,,,,22.2,,
1/2/2022 2:45,,,,0,,,,,,22.2,,
1/2/2022 2:50,,,,0,,,,,,22.2,,
1/2/2022 2:55,,,,0,,,,,,22.2,,
1/2/2022 3:00,,,,0,,,,,,22.3,,
1/2/2022 3:05,,,,0,,,,,,22.3,,
1/2/2022 3:10,,,,0,,,,,,22.2,,
1/2/2022 3:15,,,,0,,,,,,22.2,,
1/2/2022 3:20,,,,0,,,,,,22.2,,
1/2/2022 3:25,,,,0,,,,,,22.3,,
1/2/2022 3:30,,,,0,,,,,,22.3,,
1/2/2022 3:35,,,,0,,,,,,22.3,,
1/2/2022 3:40,,,,0,,,,,,22.3,,
1/2/2022 3:45,,,,0,,,,,,22.3,,
1/2/2022 3:50,,,,0,,,,,,22.4,,
1/2/2022 3:55,,,,0,,,,,,22.4,,
1/2/2022 4:00,,,,0,,,,,,22.4,,
1/2/2022 4:05,,,,0,,,,,,22.3,,
1/2/2022 4:10,,,,0,,,,,,22.3,,
1/2/2022 4:15,,,,0,,,,,,22.3,,
1/2/2022 4:20,,,,0,,,,,,22.2,,
1/2/2022 4:25,,,,0,,,,,,22.2,,
1/2/2022 4:30,,,,0,,,,,,22.2,,
1/2/2022 4:35,,,,0,,,,,,22.2,,
1/2/2022 4:40,,,,0,,,,,,22.2,,
1/2/2022 4:45,,,,0,,,,,,22.3,,
1/2/2022 4:50,,,,0,,,,,,22.3,,
1/2/2022 4:55,,,,0,,,,,,22.1,,
1/2/2022 5:00,,,,0,,,,,,22.1,,
1/2/2022 5:05,,,,0,,,,,,22.1,,
1/2/2022 5:10,,,,0,,,,,,22.5,,
1/2/2022 5:15,,,,0,,,,,,22.5,,
1/2/2022 5:20,,,,0,,,,,,22.5,,
1/2/2022 5:25,,,,0,,,,,,22.5,,
1/2/2022 5:30,,,,0,,,,,,22.5,,
1/2/2022 5:35,,,,0,,,,,,22.4,,
1/2/2022 5:40,,,,0,,,,,,22.4,,
1/2/2022 5:45,,,,0,,,,,,22.5,,
1/2/2022 5:50,,,,0,,,,,,22.5,,
1/2/2022 5:55,,,,0,,,,,,22.4,,
1/2/2022 6:00,,,,0,,,,,,22.4,,
1/2/2022 6:05,,,,0,,,,,,22.5,,
1/2/2022 6:10,,,,0,,,,,,22.5,,
1/2/2022 6:15,,,,0,,,,,,22.5,,
1/2/2022 6:20,,,,0,,,,,,22.5,,
1/2/2022 6:25,,,,0,,,,,,22.5,,
1/2/2022 6:30,,,,0,,,,,,22.5,,
1/2/2022 6:35,,,,0,,,,,,22.5,,
1/2/2022 6:40,,,,0,,,,,,22.5,,
1/2/2022 6:45,,,,0,,,,,,22.5,,
1/2/2022 6:50,,,,0,,,,,,22,,
1/2/2022 6:55,,,,0,,,,,,22,,
1/2/2022 7:00,,,,0,,,,,,22,,
1/2/2022 7:05,,,,0,,,,,,22.4,,
1/2/2022 7:10,,,,0,,,,,,22.4,,
1/2/2022 7:15,,,,0,,,,,,22.4,,
1/2/2022 7:20,,,,0,,,,,,22.4,,
1/2/2022 7:25,,,,0,,,,,,22.4,,
1/2/2022 7:30,,,,0,,,,,,22.4,,
1/2/2022 7:35,,,,0,,,,,,22.4,,
1/2/2022 7:40,,,,0,,,,,,22.5,,
1/2/2022 7:45,,,,0,,,,,,22.5,,
1/2/2022 7:50,,,,2,,,,,,22.5,,
1/2/2022 7:55,,,,4,,,,,,22.5,,
1/2/2022 8:00,,,,8,,,,,,22.1,,
1/2/2022 8:05,,,,11,,,,,,22.1,,
1/2/2022 8:10,,,,15,,,,,,22.1,,
1/2/2022 8:15,,,,3,,,,,,22.6,,
1/2/2022 8:20,,,,4,,,,,,22.6,,
1/2/2022 8:25,,,,6,,,,,,22.7,,
1/2/2022 8:30,,,,7,,,,,,22.7,,
1/2/2022 8:35,,,,9,,,,,,22.7,,
1/2/2022 8:40,,,,12,,,,,,22.8,,
1/2/2022 8:45,,,,16,,,,,,22.8,,
1/2/2022 8:50,,,,17,,,,,,22.9,,
1/2/2022 8:55,,,,17,,,,,,22.9,,
1/2/2022 9:00,,,,35,,,,,,23.6,,
1/2/2022 9:05,,,,42,,,,,,23.8,,
1/2/2022 9:10,,,,55,,,,,,23.9,,
1/2/2022 9:15,,,,55,,,,,,23.9,,
1/2/2022 9:20,,,,73,,,,,,24,,
1/2/2022 9:25,,,,78,,,,,,22.8,,
1/2/2022 9:30,,,,49,,,,,,23.8,,
1/2/2022 9:35,,,,43,,,,,,23.9,,
1/2/2022 9:40,,,,47,,,,,,23.9,,
1/2/2022 9:45,,,,57,,,,,,24,,
1/2/2022 9:50,,,,65,,,,,,24.1,,
1/2/2022 9:55,,,,67,,,,,,24.1,,
1/2/2022 10:00,,,,73,,,,,,24.1,,
1/2/2022 10:05,,,,76,,,,,,24.2,,
1/2/2022 10:10,,,,79,,,,,,24.3,,
1/2/2022 10:15,,,,76,,,,,,24.3,,
1/2/2022 10:20,,,,71,,,,,,24.1,,
1/2/2022 10:25,,,,71,,,,,,24.1,,
1/2/2022 10:30,,,,68,,,,,,24,,
1/2/2022 10:35,,,,65,,,,,,23.9,,
1/2/2022 10:40,,,,76,,,,,,23.9,,
1/2/2022 10:45,,,,87,,,,,,24,,
1/2/2022 10:50,,,,87,,,,,,24,,
1/2/2022 10:55,,,,104.5,,,,,,28.2,,
1/2/2022 11:00,,,,122,,,,,,24.8,,
1/2/2022 11:05,,,,139,,,,,,25,,
1/2/2022 11:10,,,,146,,,,,,25.2,,
1/2/2022 11:15,,,,153,,,,,,25.4,,
1/2/2022 11:20,,,,154,,,,,,25.6,,
1/2/2022 11:25,,,,154,,,,,,25.6,,
1/2/2022 11:30,,,,150,,,,,,30.6,,
1/2/2022 11:35,,,,125,,,,,,31.3,,
1/2/2022 11:40,,,,107,,,,,,31.7,,
1/2/2022 11:45,,,,100,,,,,,25.3,,
1/2/2022 11:50,,,,89,,,,,,25.1,,
1/2/2022 11:55,,,,99,,,,,,25,,
1/2/2022 12:00,,,,112,,,,,,25,,
1/2/2022 12:05,,,,120,,,,,,25.1,,
1/2/2022 12:10,,,,120,,,,,,25.1,,
1/2/2022 12:15,,,,146,,,,,,25.6,,
1/2/2022 12:20,,,,125,,,,,,25.6,,
1/2/2022 12:25,,,,129,,,,,,25.3,,
1/2/2022 12:30,,,,118,,,,,,25.12,,
1/2/2022 12:35,,,,100,,,,,,24.9,,
1/2/2022 12:40,,,,136,,,,,,24.8,,
1/2/2022 12:45,,,,171,,,,,,25.4,,
1/2/2022 12:50,,,,105,,,,,,25.5,,
1/2/2022 12:55,,,,137,,,,,,26,,
1/2/2022 13:00,,,,124,,,,,,25.6,,
1/2/2022 13:05,,,,99,,,,,,25.1,,
1/2/2022 13:10,,,,105,,,,,,24.9,,
1/2/2022 13:15,,,,82,,,,,,24.8,,
1/2/2022 13:20,,,,72,,,,,,24.6,,
1/2/2022 13:25,,,,94,,,,,,24.6,,
1/2/2022 13:30,,,,144,,,,,,24.8,,
1/2/2022 13:35,,,,210,,,,,,25.5,,
1/2/2022 13:40,,,,228,,,,,,26.3,,
1/2/2022 13:45,,,,260,,,,,,26.8,,
1/2/2022 13:50,,,,252,,,,,,27.2,,
1/2/2022 13:55,,,,263,,,,,,27.2,,
1/2/2022 14:00,,,,263,,,,,,27.6,,
1/2/2022 14:05,,,,161,,,,,,27.3,,
1/2/2022 14:10,,,,128,,,,,,26.4,,
1/2/2022 14:15,,,,128,,,,,,26.4,,
1/2/2022 14:20,,,,316,,,,,,31.5,,
1/2/2022 14:25,,,,301,,,,,,31.2,,
1/2/2022 14:30,,,,279,,,,,,31.1,,
1/2/2022 14:35,,,,266,,,,,,31,,
1/2/2022 14:40,,,,250,,,,,,30.3,,
1/2/2022 14:45,,,,244,,,,,,30.2,,
1/2/2022 14:50,,,,247,,,,,,30.4,,
1/2/2022 14:55,,,,208,,,,,,30.4,,
1/2/2022 15:00,,,,171,,,,,,30.2,,
1/2/2022 15:05,,,,227,,,,,,30.3,,
1/2/2022 15:10,,,,225,,,,,,30.7,,
1/2/2022 15:15,,,,215,,,,,,30.6,,
1/2/2022 15:20,,,,216,,,,,,30.7,,
1/2/2022 15:25,,,,227,,,,,,30.6,,
1/2/2022 15:30,,,,195,,,,,,30.5,,
1/2/2022 15:35,,,,187,,,,,,30.6,,
1/2/2022 15:40,,,,320,,,,,,31.3,,
1/2/2022 15:45,,,,340,,,,,,32.3,,
1/2/2022 15:50,,,,263,,,,,,33.1,,
1/2/2022 15:55,,,,226,,,,,,33.1,,
1/2/2022 16:00,,,,198,,,,,,32.6,,
1/2/2022 16:05,,,,219,,,,,,31.9,,
1/2/2022 16:10,,,,183,,,,,,31.3,,
1/2/2022 16:15,,,,224,,,,,,31,,
1/2/2022 16:20,,,,240,,,,,,31.3,,
1/2/2022 16:25,,,,197,,,,,,31.3,,
1/2/2022 16:30,,,,158,,,,,,30.8,,
1/2/2022 16:35,,,,152,,,,,,29.9,,
1/2/2022 16:40,,,,189,,,,,,29.6,,
1/2/2022 16:45,,,,152,,,,,,29.6,,
1/2/2022 16:50,,,,151,,,,,,29.3,,
1/2/2022 16:55,,,,230,,,,,,29.8,,
1/2/2022 17:00,,,,233,,,,,,30.3,,
1/2/2022 17:05,,,,216,,,,,,30.3,,
1/2/2022 17:10,,,,199,,,,,,30.1,,
1/2/2022 17:15,,,,175,,,,,,30.2,,
1/2/2022 17:20,,,,162,,,,,,30.2,,
1/2/2022 17:25,,,,135,,,,,,30.1,,
1/2/2022 17:30,,,,82,,,,,,29.6,,
1/2/2022 17:35,,,,25,,,,,,28.9,,
1/2/2022 17:40,,,,11,,,,,,27.7,,
1/2/2022 17:45,,,,20,,,,,,25.6,,
1/2/2022 17:50,,,,20,,,,,,24.2,,
1/2/2022 17:55,,,,17,,,,,,23.7,,
1/2/2022 18:00,,,,15,,,,,,23.6,,
1/2/2022 18:05,,,,31,,,,,,23.6,,
1/2/2022 18:10,,,,38,,,,,,23.8,,
1/2/2022 18:15,,,,37,,,,,,23.9,,
1/2/2022 18:20,,,,37,,,,,,23.9,,
1/2/2022 18:25,,,,6,,,,,,24.4,,
1/2/2022 18:30,,,,5,,,,,,24.1,,
1/2/2022 18:35,,,,7,,,,,,24.1,,
1/2/2022 18:40,,,,10,,,,,,23.7,,
1/2/2022 18:45,,,,1,,,,,,23.6,,
1/2/2022 18:50,,,,13,,,,,,23.6,,
1/2/2022 18:55,,,,9,,,,,,23.5,,
1/2/2022 19:00,,,,5,,,,,,23.4,,
1/2/2022 19:05,,,,2,,,,,,23.3,,
